Date,Open,High,Low,Close,Adj Close,Volume
11/4/2024,1.292,1.2999,1.292,1.299,1.299,-
11/1/2024,1.2895,1.2979,1.2885,1.2898,1.2898,-
10/31/2024,1.2959,1.2999,1.2848,1.296,1.296,-
10/30/2024,1.3012,1.3039,1.2939,1.3014,1.3014,-
10/29/2024,1.2976,1.3008,1.2958,1.2975,1.2975,-
10/28/2024,1.2958,1.3001,1.2941,1.2958,1.2958,-
10/25/2024,1.2974,1.2999,1.2957,1.2973,1.2973,-
10/24/2024,1.2916,1.2987,1.2912,1.2914,1.2914,-
10/23/2024,1.2982,1.2996,1.2938,1.2983,1.2983,-
10/22/2024,1.2983,1.3015,1.2946,1.2983,1.2983,-
10/21/2024,1.3051,1.3053,1.298,1.3053,1.3053,-
10/18/2024,1.3016,1.3069,1.3012,1.3016,1.3016,-
10/17/2024,1.2992,1.302,1.2976,1.299,1.299,-
10/16/2024,1.3066,1.3077,1.2984,1.3066,1.3066,-
10/15/2024,1.3068,1.3102,1.3036,1.3067,1.3067,-
10/14/2024,1.3049,1.3072,1.3032,1.3049,1.3049,-
10/11/2024,1.3062,1.3082,1.3043,1.3062,1.3062,-
10/10/2024,1.3067,1.3093,1.3028,1.3068,1.3068,-
10/9/2024,1.3094,1.3104,1.3058,1.3095,1.3095,-
10/8/2024,1.3086,1.3114,1.3065,1.3085,1.3085,-
10/7/2024,1.3124,1.3134,1.306,1.3125,1.3125,-
10/4/2024,1.313,1.3175,1.3073,1.313,1.313,-
10/3/2024,1.3263,1.3265,1.3094,1.3266,1.3266,-
10/2/2024,1.3275,1.3305,1.3249,1.3274,1.3274,-
10/1/2024,1.3378,1.339,1.3265,1.3376,1.3376,-
9/30/2024,1.3383,1.3425,1.3363,1.3383,1.3383,-
9/25/2024,1.3427,1.343,1.3337,1.3427,1.3427,-
9/24/2024,1.335,1.3399,1.3333,1.335,1.335,-
9/23/2024,1.3313,1.336,1.3251,1.3314,1.3314,-
9/20/2024,1.3283,1.3341,1.3271,1.3282,1.3282,-
9/19/2024,1.3203,1.3312,1.3155,1.3201,1.3201,-
9/18/2024,1.3168,1.3253,1.3156,1.3167,1.3167,-
9/17/2024,1.3211,1.323,1.316,1.3211,1.3211,-
